Product Name,Price,Rating
NIVEA UV Face Shine Control Cream SPF 50 - 50ml,KSh 975,None
AILYONS HD-199A Electric Dry Iron Box Silver & Black (1YR WRTY),KSh 929,None
NIVEA Perfect & Radiant Even Tone Day And Night Cream For Women - 50ml,"KSh 1,170",None
Fashion 6Pcs Soft Cotton Checked Men's Boxers – Multicolor,KSh 618,None
NIVEA Radiant & Beauty Advanced Care Lotion For Women - 400ml (Pack Of 2),"KSh 1,095",None
Garnier Even & Matte Vitamin C Protection Cream SPF30 50ml,KSh 750,None
Garnier Even & Matte Vitamin  C Booster Serum 30ml.,"KSh 1,225",None
Waanzilish Mens Sneakers Shoes Outdoor Hiking Shoes Non-slip Sports Shoes Breathable Blue,"KSh 1,500",None
Garnier Bright Complete Bundle Pack,"KSh 2,040",None
"NIVEA Pearl & Beauty Anti-Perspirant Rollon, 48h - 50ml (Pack Of 2)","KSh 1,040",None
AILYONS FK-0310 Stainless Steel 2.2L Electric Water Kettle-Black (1YR WRTY),KSh 902,None
Hikers 32'' Inch Frameless Android Smart HD LED TV - Black,"KSh 11,328",None
Garnier Pure Active 3 In1 Charcoal  Anti  Blackhead Mask Wash Scrub -  150ml,KSh 875,None
Annov 7-Speed Portable Hand Mixer  With Bowl,"KSh 1,299",None
Starlink Standard Actuated Kit,"KSh 45,500",None
AILYONS AFK-111 Water Dispenser Hot And Normal With Storage Cabinet,"KSh 3,299",None
Garnier Even & Matte Vitamin C  Booster Serum 15ml,KSh 675,None
Fashion 4pcs Ladies Handbags Women Shoulder Tote Bags Set PU Leather-Black,KSh 895,None
"Samsung GALAXY A15, 6.5'' HD+, 4GB RAM + 128GB ROM, DUAL SIM, 50MP,  5000mAh - Black","KSh 15,990",None
Nunix Hair Red Blow Dryer With Beauty Accessories HD-01,KSh 800,None
"Superfoam Luxury White Fiber Pillow 600gms ( 100% Pure Fiber, Soft Feel) 68 Cm X 43 Cm",KSh 850,None
Rashnik Manual Water Dispenser Pump,KSh 286,None
AILYONS TYB-205 Blender 2In1 With GrinderMachine 1.5LBlack (1YR WRTY),"KSh 1,699",None
